         27760 function calls (27248 primitive calls) in 427.688 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    69/51    0.000    0.000    0.029    0.001 <frozen importlib._bootstrap>:1009(_handle_fromlist)
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       43    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:147(__enter__)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
       52    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     60/4    0.000    0.000    0.088    0.022 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      617    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:318(__exit__)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
       68    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:403(cached)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
       40    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
       40    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
     40/4    0.000    0.000    0.088    0.022 <frozen importlib._bootstrap>:663(_load_unlocked)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
      123    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
      123    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
       41    0.001    0.000    0.024    0.001 <frozen importlib._bootstrap>:882(_find_spec)
